ID,Author(s),Title,Year,Type,Journal / Conference / Report,Publisher,Country of Origin,Targets,Target Class,Author Affiliation,Funding Organization,Copy of previous
1,H.S. London,Change of Satellite Orbit Plane by Aerodynamic Maneuvering,1962,Journal,Journal of Aerospace Sciences,AIAA,USA,Earth,Earth,United Aircraft Corp. Research Lab,NA,N
2,T. W. Finch,Aerodynamic Braking Trajectories for Mars Orbit Attainment,1965,Journal,Journal of Spacecraft,AIAA,USA,Mars,Mars,Douglas Aircraft Company Inc.,NA,N
3,J. H. Lichtenstein,Some Considerations on the Use Of Atmospheric Braking for a Transfer into a Mars Orbit,1965,Report,NASA TM,NASA,USA,Mars,Mars,NASA Langley Research Center,NASA,N
4,E. M. Repic,Aerobraking as a Potential Planetary Capture Mode,1968,Journal,Journal of Spacecraft,AIAA,USA,Mars, Venus,Mars,North American Rockwell Corp.,NA,N
5,M. I. Cruz,The Aerocapture Vehicle Mission Design Concept,1979,Conference,Conference on Advanced Technology for Future Space Systems Hampton,VA,AIAA,USA,Mars,Mars,Jet Propulsion Lab,NASA / JPL,N
6,R. J. Hasset,Design Integration of Aerocapture and Aeromanuever Vehicles for Mars Sample Return Mission,1980,Conference,Structures, Structural Dynamics, and Materials Conference Seattle,WA,AIAA,USA,Mars,Mars,General Electric Co.,NASA / JPL,N
7,General Electric Co.,Generic Aerocapture Atmospheric Entry Study vol. 1,1980,Report,Technical Report,NASA,USA,Mars, Titan, Uranus,Generic,General Electric Co.,NASA / JPL,N
8,General Electric Co.,Generic Aerocapture Atmospheric Entry Study vol. 2,1980,Report,Technical Report,NASA,USA,Mars, Titan, Uranus,Generic,General Electric Co.,NASA / JPL,Y
9,M. I. Cruz,Technology Requirements for a Generic Aerocapture System,1980,Conference,Thermophysics Conference,AIAA,USA,Mars, Titan, Uranus,Generic,Jet Propulsion Lab,NASA / JPL,N
10,M. I. Cruz,Aerodynamic Mission Concepts for the Mars Sample Return Mission,1981,Conference,Atmospheric Flight Mechanics Conference,AIAA,USA,Mars,Mars,Jet Propulsion Lab,NASA / JPL,N
11,D. E. Florence,Aerothermodynamic Design Feasibility of a Generic Aerocapture Vehicle,1981,Conference,Thermophysics Conference,AIAA,USA,Mars, Titan, Uranus,Generic,General Electric Co.,NASA / JPL,N
12,D. E. Florence,Aerothermodynamic Design Feasibility of a Generic Aerocapture Vehicle,1981,Book Chapter,Thermophysics of Atmospheric Entry,AIAA,USA,Mars, Titan, Uranus,Generic,General Electric Co.,NASA / JPL,Y
13,D. E. Florence,Aerothermodynamic Design Feasibility of a Mars Aerocapture Vehicle,1981,Conference,Aerospace Sciences Meeting,AIAA,USA,Mars,Mars,General Electric Co.,NASA / JPL,N
14,S. N. Tiwari,Analysis of Aerothermodynamic Environment of a Titan Aerocapture Vehicle,1981,Book Chapter,Thermophysics of Atmospheric Entry,AIAA,USA,Titan,Titan,Old Dominion University,NA,N
15,W. R. Letts,Entry Trajectory Shaping for Shuttle-Deployed Experiment,1981,Conference,Atmospheric Flight Mechanics Conference,AIAA,USA,Earth,Earth,General Electric Co.,NASA / JPL,N
16,J. R. French,Trends in Unmanned Planetary Entry,1981,Conference,Thermophysics Conference,AIAA,USA,Venus, Mars, Titan,Generic,Jet Propulsion Lab,NASA / JPL,N
17,K. D. Mease,Aerocapture - Guidance, navigation, and control,1982,Conference,Atmospheric Flight Mechanics Conference,AIAA,USA,Venus, Mars, Titan, Uranus,Generic,Jet Propulsion Lab,NASA / JPL,N
